[Cards]
1=3|Tri-Horned Dragon|2||Dragon|An unworthy dragon with three sharp horns sprouting from its head.|8|2|2850|2350
2=3|Blue-Eyes White Dragon|5||Dragon|This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.|8|2|3000|2500
3=3|Hitotsu-Me Giant|3||Beast-Warrior|A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.|4||1200|1000
4=2|Flame Swordsman|4||Warrior|"Flame Manipulator" + "Masaki the Legendary Swordsman"|5|1|1800|1600
5=3|Skull Servant|2||Zombie|A Skeletal ghost that isn't strong but can mean trouble in large numbers.|1||300|200
6=3|Dark Magician|2||Spellcaster|The ultimate wizard in terms of attack and defense.|7|2|2500|2100
7=3|Gaia the Fierce Knight|3||Warrior|A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.|7||2300|2100
8=3|Celtic Guardian|3||Warrior|An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks.|4||1400|1200
9=3|Basic Insect|3||Insect|Usually found traveling in swarms, this creature's ideal environment is the forest.|2||500|700
10=3|Mammoth Graveyard|3||Dinosaur|A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.|3||1200|800
11=3|Silver Fang|3||Beast|A snow wolf that's beautiful to the eye, but absolutely vicious in battle.|3||1200|800
12=3|Dark Gray|3||Beast|Entirely gray, this beast has rarely been seen by mortal eyes.|3||800|900
13=3|Trial of Nightmare|2||Fiend|This fiend passes judgment on enemies that are locked in coffins.|4||1300|900
14=3|Nemuriko|2||Spellcaster|A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.|3||800|700
15=3|The 13th Grave|2||Zonbie|A zombie that suddenly appeared from plot #13 - an empty grave.|3||1200|900
16=2|Charubin the Fire Knight|4||Pyro|"Monster Egg" + "Hinotama Soul"|3||1100|800
17=3|Flame Manipulator|4||Spellcaster|This Spellcaster attacks enemies with fire-related spells such as "Sea of Flames" and "Wall of Fire".|3||900|1000
18=3|Monster Egg|3||Warrior|A warrior hidden within an egg that attacks enemies by flinging eggshells.|3||600|900
19=3|Firegrass|3||Plant|A fire-breathing plant found growing near volcanoes.|2||700|600
20=2|Darkfire Dragon|2||Dragon|"Firegrass" + "Petit Dragon"|4||1500|1250
21=3|Dark King of the Abyss|2||Fiend|It's said that this King of the Netherworld once had the power to rule over the dark.|3||1200|800
22=3|Fiend Reflection #2|7||Winged Beast|A bird-beast that summons reinforcements with a hand mirror.|4||1100|1400
23=2|Fusionist|3||Beast|"Petit Angel" + "Mystical Sheep #2"|3||900|700
24=3|Turtle Tiger|6||Aqua|A tiger encased in a protective shell that attacks with razor-sharp fangs.|4||1000|1500
25=3|Petit Dragon|7||Dragon|A very small dragon known for its vicious attacks.|2||600|700
26=3|Petit Angel|5||Fairy|A quick-moving and tiny fairy that's very difficult to hit.|3||600|900
27=3|Hinotama Soul|4||Pyro|An intensely hot flame creature that rams anything standing in its way.|2||600|500
28=3|Aqua Madoor|6||Spellcaster|A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.|4||1200|2000
29=3|Kagemusha of the Blue Flame|3||Warrior|Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.|2||800|400
30=2|Flame Ghost|2||Zombie|"Skull Servant" + "Dissolverock"|3||1000|800
31=3|Two-Mouth Darkruler|3||Dragon|A dinosaur with two deadly jaws, it stores electricity in its horn and releases high voltage bolts from the mouth on its back.|3||900|700
32=3|Dissolverock|3||Rock|A monster born in the lava pits, it generates intense heat that can melt away its enemies.|3||900|1000
33=3|Root Water|6||Fish|An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.|3||900|800
34=3|The Furious Sea King|6||Aqua|Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.|3||800|700
35=3|Green Phantom King|3||Plant|This youthful king of the forests lives in a green world, abundant with trees and wildlife.|3||500|1600
36=3|Ray & Temperature|5||Fairy|The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.|3||1000|1000
37=3|King Fog|2||Fiend|A fiend that dwells in a blinding curtain of smoke.|3||1000|900
38=3|Mystical Sheep #2|3||Beast|A monstrous sheep with a long tail for hypnotizing enemies.|3||800|1000
39=3|Masaki the Legendary Swordsman|3||Warrior|Legendary swordmaster Masaki is a veteran of over 100 battles.|4||1100|1100
40=3|Kurama|7||Winged Beast|A vicious bird that attacks from the skies with its whip-like tail.|3||800|800
41=5|Legendary Sword|8|Equip|Magic|A Warrior-Type monster equipped with this card increases its ATK and DEF by 300 points.||||
42=5|Beast Fangs|8|Equip|Magic|A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.||||
43=5|Violet Crystal|8|Equip|Magic|A Zombie-Type monster equipped with this card increases its ATK and DEF by 300 points.||||
44=5|Book of secret Arts|8|Equip|Magic|A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.||||
45=5|Power of Kaishin|8|Equip|Magic|An Aqua-Type monster equipped with this card increases its ATK and DEF by 300 points.||||
46=6|Dragon Capture Jar|9|Continuous|Trap|As long as this card remains face-up on the field, all face-up Dragon-Type monsters are changed to Defense Position and cannot change their Battle Position.||||
47=5|Forest|8|Field|Magic|Increases the ATK and DEF of all Insect, Beast, Plant, and Beast-Warrior-Type monsters by 200 points.||||
48=5|Wasteland|8|Field|Magic|Increases the ATK and DEF of all Dinosaur, Zombie, and Rock-Type monsters by 200 points.||||
49=5|Mountain|8|Field|Magic|Increases the ATK and DEF of all Dragon, Winged Beast, and Thunder-Type monsters by 200 points.||||
50=5|Sogen|8|Field|Magic|Increases the ATK and DEF of all Beast-Warrior and Warrior-Type monsters by 200 points.||||
